"ano","sq_candidato","nome_candidato","descricao_cargo","sigla_partido","desc_sit_cand_tot","sigla_uf","total_votos","sexo","estado_civil","grau_instrucao","descricao_ocupacao","cor_raca","data_nascimento","descricao_nacionalidade"
2014,30000000148,"MARCOS JOSE REATEGUI SOUZA","DEPUTADO FEDERAL","PSC","ELEITO POR QP","AP",12485,"MASCULINO","SEPARADO(A) JUDICIALMENTE","SUPERIOR COMPLETO","SERVIDOR PÚBLICO FEDERAL","PARDA","06/10/1960","BRASILEIRA NATA"
2014,30000000158,"JOZIANE ARAUJO NASCIMENTO ROCHA","DEPUTADO FEDERAL","PTB","ELEITO POR MÉDIA","AP",10007,"FEMININO","CASADO(A)","ENSINO MÉDIO COMPLETO","EMPRESÁRIO","BRANCA","26/03/1979","BRASILEIRA NATA"
2014,30000000338,"VINÍCIUS DE AZEVEDO GURGEL","DEPUTADO FEDERAL","PR","ELEITO POR QP","AP",18661,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","31/07/1978","BRASILEIRA NATA"
2014,30000000353,"ANDRÉ DOS SANTOS ABDON","DEPUTADO FEDERAL","PRB","ELEITO POR MÉDIA","AP",13798,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","OUTROS","PARDA","10/11/1970","BRASILEIRA NATA"
2014,30000000462,"JANETE MARIA GÓES CAPIBERIBE","DEPUTADO FEDERAL","PSB","ELEITO POR QP","AP",21108,"FEMININO","CASADO(A)","SUPERIOR INCOMPLETO","DEPUTADO","PARDA","12/05/1949","BRASILEIRA NATA"
2014,30000000466,"MARCIVANIA DO SOCORRO DA ROCHA FLEXA","DEPUTADO FEDERAL","PT","ELEITO POR MÉDIA","AP",16162,"FEMININO","CASADO(A)","SUPERIOR COMPLETO","PROFESSOR DE ENSINO MÉDIO","PARDA","21/06/1973","BRASILEIRA NATA"
2014,40000000077,"MARCOS SERGIO ROTTA","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","AM",117955,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","11/03/1967","BRASILEIRA NATA"
2014,40000000082,"MARIA DA CONCEIÇÃO SAMPAIO MOURA","DEPUTADO FEDERAL","PP","ELEITO POR QP","AM",71878,"FEMININO","CASADO(A)","SUPERIOR INCOMPLETO","DEPUTADO","BRANCA","01/01/1966","BRASILEIRA NATA"
2014,40000000086,"HISSA NAGIB ABRAHÃO FILHO","DEPUTADO FEDERAL","PPS","ELEITO POR QP","AM",113646,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","EMPRESÁRIO","BRANCA","02/08/1980","BRASILEIRA NATA"
2014,40000000345,"PAUDERNEY TOMAZ AVELINO","DEPUTADO FEDERAL","DEM","ELEITO POR QP","AM",103904,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","24/09/1954","BRASILEIRA NATA"
2014,40000000349,"ALFREDO PEREIRA DO NASCIMENTO","DEPUTADO FEDERAL","PR","ELEITO POR QP","AM",120060,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","SENADOR","PARDA","05/05/1952","BRASILEIRA NATA"
2014,40000000353,"ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","AM",250916,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","DEPUTADO","BRANCA","01/10/1979","BRASILEIRA NATA"
2014,40000000356,"ATILA SIDNEY LINS DE ALBUQUERQUE","DEPUTADO FEDERAL","PSD","ELEITO POR MÉDIA","AM",89453,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","22/11/1950","BRASILEIRA NATA"
2014,40000000360,"SILAS CAMARA","DEPUTADO FEDERAL","PSD","ELEITO POR QP","AM",166281,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","15/12/1962","BRASILEIRA NATA"
2014,40000000489,"OMAR JOSE ABDEL AZIZ","SENADOR","PSD","ELEITO","AM",933996,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ENGENHEIRO","BRANCA","13/08/1958","BRASILEIRA NATA"
2014,50000000120,"ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO","DEPUTADO FEDERAL","PTB","ELEITO POR QP","BA",159840,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PRETA","17/01/1969","BRASILEIRA NATA"
2014,50000000121,"BENITO DA GAMA SANTOS","DEPUTADO FEDERAL","PTB","ELEITO POR MÉDIA","BA",71372,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ECONOMISTA","BRANCA","29/08/1948","BRASILEIRA NATA"
2014,50000000123,"FELIX DE ALMEIDA MENDONÇA JUNIOR","DEPUTADO FEDERAL","PDT","ELEITO POR QP","BA",130583,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","OUTROS","BRANCA","29/11/1963","BRASILEIRA NATA"
2014,50000000132,"AFONSO BANDEIRA FLORENCE","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",82661,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","15/10/1960","BRASILEIRA NATA"
2014,50000000133,"ALICE MAZZUCO PORTUGAL","DEPUTADO FEDERAL","PC do B","ELEITO POR QP","BA",72682,"FEMININO","SEPARADO(A) JUDICIALMENTE","SUPERIOR COMPLETO","DEPUTADO","PARDA","16/05/1959","BRASILEIRA NATA"
2014,50000000135,"DANIEL GOMES DE ALMEIDA","DEPUTADO FEDERAL","PC do B","ELEITO POR QP","BA",135382,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","OUTROS","PARDA","21/01/1955","BRASILEIRA NATA"
2014,50000000141,"JORGE JOSÉ SANTOS PEREIRA SOLLA","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",125159,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","MÉDICO","BRANCA","11/04/1961","BRASILEIRA NATA"
2014,50000000142,"JOSIAS GOMES DA SILVA","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",98871,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","14/10/1956","BRASILEIRA NATA"
2014,50000000145,"LUIZ CARLOS CAETANO","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",125862,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","FARMACÊUTICO","PARDA","23/09/1954","BRASILEIRA NATA"
2014,50000000146,"MOEMA ISABEL PASSOS GRAMACHO","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",81414,"FEMININO","SOLTEIRO(A)","SUPERIOR COMPLETO","BIÓLOGO","PARDA","04/07/1958","BRASILEIRA NATA"
2014,50000000147,"NELSON VICENTE PORTELA PELLEGRINO","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",111252,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","27/12/1960","BRASILEIRA NATA"
2014,50000000149,"VALMIR CARLOS DA ASSUNÇÃO","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",123284,"MASCULINO","CASADO(A)","ENSINO FUNDAMENTAL COMPLETO","DEPUTADO","PRETA","17/12/1964","BRASILEIRA NATA"
2014,50000000150,"WALDENOR ALVES PEREIRA FILHO","DEPUTADO FEDERAL","PT","ELEITO POR QP","BA",114965,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","08/03/1954","BRASILEIRA NATA"
2014,50000000154,"JOSÉ NUNES SOARES","DEPUTADO FEDERAL","PSD","ELEITO POR QP","BA",105776,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","18/12/1950","BRASILEIRA NATA"
2014,50000000155,"JOSÉ CARLOS LEÃO DE ARAUJO","DEPUTADO FEDERAL","PSD","ELEITO POR MÉDIA","BA",72013,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","DEPUTADO","BRANCA","21/12/1944","BRASILEIRA NATA"
2014,50000000157,"PAULO SERGIO PARANHOS DE MAGALHÃES","DEPUTADO FEDERAL","PSD","ELEITO POR QP","BA",77045,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","DEPUTADO","BRANCA","28/11/1952","BRASILEIRA NATA"
2014,50000000159,"JOÃO CARLOS PAOLILO BACELAR FILHO","DEPUTADO FEDERAL","PR","ELEITO POR QP","BA",111643,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","EMPRESÁRIO","BRANCA","08/10/1972","BRASILEIRA NATA"
2014,50000000160,"JOSÉ ALVES ROCHA","DEPUTADO FEDERAL","PR","ELEITO POR QP","BA",101663,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","MÉDICO","BRANCA","18/08/1948","BRASILEIRA NATA"
2014,50000000164,"CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO","DEPUTADO FEDERAL","PP","ELEITO POR QP","BA",125605,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","ADMINISTRADOR","BRANCA","03/11/1979","BRASILEIRA NATA"
2014,50000000167,"MÁRIO SÍLVIO MENDES NEGROMONTE JÚNIOR","DEPUTADO FEDERAL","PP","ELEITO POR QP","BA",169215,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","31/08/1980","BRASILEIRA NATA"
2014,50000000168,"ROBERTO PEREIRA DE BRITTO","DEPUTADO FEDERAL","PP","ELEITO POR QP","BA",110822,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","MÉDICO","BRANCA","03/04/1951","BRASILEIRA NATA"
2014,50000000169,"RONALDO CARLETTO","DEPUTADO FEDERAL","PP","ELEITO POR QP","BA",148628,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","EMPRESÁRIO","PARDA","05/01/1960","BRASILEIRA NATA"
2014,50000000174,"SERGIO LUIS LACERDA BRITO","DEPUTADO FEDERAL","PSD","ELEITO POR QP","BA",83658,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","08/06/1961","BRASILEIRA NATA"
2014,50000000202,"ADALBERTO SOUZA GALVAO","DEPUTADO FEDERAL","PSB","ELEITO POR QP","BA",96134,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","OUTROS","PRETA","09/06/1962","BRASILEIRA NATA"
2014,50000000403,"OTTO ROBERTO MENDONCA DE ALENCAR","SENADOR","PSD","ELEITO","BA",3341111,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","MÉDICO","BRANCA","28/08/1947","BRASILEIRA NATA"
2014,50000000551,"ULDURICO ALENCAR PINTO","DEPUTADO FEDERAL","PTC","ELEITO POR QP","BA",39904,"MASCULINO","SOLTEIRO(A)","SUPERIOR INCOMPLETO","AGRICULTOR","PARDA","30/01/1992","BRASILEIRA NATA"
2014,50000000626,"CLAUDIO CAJADO SAMPAIO","DEPUTADO FEDERAL","DEM","ELEITO POR QP","BA",89118,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","01/12/1963","BRASILEIRA NATA"
2014,50000000628,"ELMAR JOSÉ VIEIRA NASCIMENTO","DEPUTADO FEDERAL","DEM","ELEITO POR QP","BA",88334,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","06/07/1970","BRASILEIRA NATA"
2014,50000000630,"JOSÉ CARLOS ALELUIA COSTA","DEPUTADO FEDERAL","DEM","ELEITO POR QP","BA",101924,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","OUTROS","PARDA","09/12/1947","BRASILEIRA NATA"
2014,50000000637,"PAULO VELLOSO DANTAS AZI","DEPUTADO FEDERAL","DEM","ELEITO POR QP","BA",110662,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","14/01/1963","BRASILEIRA NATA"
2014,50000000639,"ANTONIO JOSÉ IMBASSAHY DA SILVA","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","BA",120479,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","12/03/1948","BRASILEIRA NATA"
2014,50000000642,"JOÃO GUALBERTO VASCONCELOS","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","BA",117671,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","EMPRESÁRIO","BRANCA","06/07/1958","BRASILEIRA NATA"
2014,50000000643,"JUTAHY MAGALHÃES JUNIOR","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","BA",108476,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","14/10/1955","BRASILEIRA NATA"
2014,50000000655,"LUCIO QUADROS VIEIRA LIMA","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","BA",222164,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","19/11/1962","BRASILEIRA NATA"
2014,50000000661,"JOAO CARLOS BACELAR BATISTA","DEPUTADO FEDERAL","PTN","ELEITO POR QP","BA",95158,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","09/07/1957","BRASILEIRA NATA"
2014,50000000670,"ERONILDES VASCONCELOS CARVALHO","DEPUTADO FEDERAL","PRB","ELEITO POR QP","BA",116912,"FEMININO","VIÚVO(A)","ENSINO MÉDIO COMPLETO","VEREADOR","PRETA","02/06/1972","BRASILEIRA NATA"
2014,50000000672,"MÁRCIO CARLOS MARINHO","DEPUTADO FEDERAL","PRB","ELEITO POR QP","BA",117470,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PRETA","12/12/1970","BRASILEIRA NATA"
2014,50000000676,"ARTHUR DE OLIVEIRA MAIA DA SILVA","DEPUTADO FEDERAL","SD","ELEITO POR QP","BA",95698,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","17/08/1964","BRASILEIRA NATA"
2014,50000000681,"ANTONIO LAZARO SILVA","DEPUTADO FEDERAL","PSC","ELEITO POR QP","BA",161438,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","MÚSICO","PRETA","04/11/1966","BRASILEIRA NATA"
2014,50000000683,"ERIVELTON LIMA SANTANA","DEPUTADO FEDERAL","PSC","ELEITO POR MÉDIA","BA",74836,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","DEPUTADO","PARDA","29/01/1965","BRASILEIRA NATA"
2014,60000000246,"MORONI BING TORGAN","DEPUTADO FEDERAL","DEM","ELEITO POR QP","CE",277774,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","SERVIDOR PÚBLICO CIVIL APOSENTADO","BRANCA","10/06/1956","BRASILEIRA NATA"
2014,60000000271,"MOSES HAENDEL MELO RODRIGUES","DEPUTADO FEDERAL","PPS","ELEITO POR QP","CE",147044,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","EMPRESÁRIO","BRANCA","06/06/1978","BRASILEIRA NATA"
2014,60000000571,"ANIBAL FERREIRA GOMES","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","CE",173736,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","07/06/1953","BRASILEIRA NATA"
2014,60000000574,"FRANCISCO DANILO BASTOS FORTE","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","CE",180157,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","01/09/1958","BRASILEIRA NATA"
2014,60000000580,"VITOR PEREIRA VALIM","DEPUTADO FEDERAL","PMDB","ELEITO POR MÉDIA","CE",92499,"MASCULINO","DIVORCIADO(A)","SUPERIOR INCOMPLETO","JORNALISTA E REDATOR","PARDA","15/05/1978","BRASILEIRA NATA"
2014,60000000583,"FLAVIO ALVES SABINO","DEPUTADO FEDERAL","PR","ELEITO POR QP","CE",120485,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES","BRANCA","16/02/1971","BRASILEIRA NATA"
2014,60000000586,"MARIA GORETE PEREIRA","DEPUTADO FEDERAL","PR","ELEITO POR QP","CE",130983,"FEMININO","DIVORCIADO(A)","SUPERIOR COMPLETO","FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL","BRANCA","10/04/1952","BRASILEIRA NATA"
2014,60000000599,"RAIMUNDO GOMES DE MATOS","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","CE",95145,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","30/03/1951","BRASILEIRA NATA"
2014,60000000605,"TASSO RIBEIRO JEREISSATI","SENADOR","PSDB","ELEITO","CE",2314796,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","EMPRESÁRIO","BRANCA","15/12/1948","BRASILEIRA NATA"
2014,60000000773,"ANDRE PEIXOTO FIGUEIREDO LIMA","DEPUTADO FEDERAL","PDT","ELEITO POR QP","CE",125360,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","ECONOMISTA","BRANCA","10/11/1966","BRASILEIRA NATA"
2014,60000000774,"ANTONIO BALHMANN CARDOSO NUNES FILHO","DEPUTADO FEDERAL","PROS","ELEITO POR QP","CE",87666,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ENGENHEIRO","BRANCA","22/08/1949","BRASILEIRA NATA"
2014,60000000779,"DOMINGOS GOMES DE AGUIAR NETO","DEPUTADO FEDERAL","PROS","ELEITO POR QP","CE",185226,"MASCULINO","SOLTEIRO(A)","SUPERIOR INCOMPLETO","DEPUTADO","BRANCA","29/04/1988","BRASILEIRA NATA"
2014,60000000785,"FRANCISCO LOPES DA SILVA","DEPUTADO FEDERAL","PC do B","ELEITO POR MÉDIA","CE",80578,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","DEPUTADO","PRETA","13/08/1939","BRASILEIRA NATA"
2014,60000000786,"GENECIAS MATEUS NORONHA","DEPUTADO FEDERAL","SD","ELEITO POR QP","CE",221567,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","DEPUTADO","PARDA","13/03/1963","BRASILEIRA NATA"
2014,60000000788,"JOSE ADAIL CARNEIRO SILVA","DEPUTADO FEDERAL","PHS","ELEITO POR QP","CE",113885,"MASCULINO","SOLTEIRO(A)","ENSINO MÉDIO COMPLETO","EMPRESÁRIO","BRANCA","11/07/1963","BRASILEIRA NATA"
2014,60000000789,"JOSE AIRTON FELIX CIRILO DA SILVA","DEPUTADO FEDERAL","PT","ELEITO POR QP","CE",94056,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ADVOGADO","PARDA","21/02/1957","BRASILEIRA NATA"
2014,60000000790,"JOSE ARNON CRUZ BEZERRA DE MENEZES","DEPUTADO FEDERAL","PTB","ELEITO POR MÉDIA","CE",84474,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","13/08/1951","BRASILEIRA NATA"
2014,60000000791,"JOSE LEONIDAS DE MENEZES CRISTINO","DEPUTADO FEDERAL","PROS","ELEITO POR QP","CE",91085,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ENGENHEIRO","BRANCA","03/06/1957","BRASILEIRA NATA"
2014,60000000792,"JOSE MARIA MACEDO JUNIOR","DEPUTADO FEDERAL","PSL","ELEITO POR QP","CE",107734,"MASCULINO","CASADO(A)","SUPERIOR INCOMPLETO","INDUSTRIAL","BRANCA","28/05/1960","BRASILEIRA NATA"
2014,60000000793,"JOSE NOBRE GUIMARÃES","DEPUTADO FEDERAL","PT","ELEITO POR QP","CE",209032,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","10/02/1959","BRASILEIRA NATA"
2014,60000000795,"LUIZ ODORICO MONTEIRO DE ANDRADE","DEPUTADO FEDERAL","PT","ELEITO POR QP","CE",121640,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","PROFESSOR DE ENSINO SUPERIOR","BRANCA","11/08/1961","BRASILEIRA NATA"
2014,60000000796,"LUIZIANNE DE OLIVEIRA LINS","DEPUTADO FEDERAL","PT","ELEITO POR QP","CE",130717,"FEMININO","SOLTEIRO(A)","SUPERIOR COMPLETO","PROFESSOR DE ENSINO SUPERIOR","BRANCA","18/11/1968","BRASILEIRA NATA"
2014,60000000806,"RONALDO MANCHADO MARTINS","DEPUTADO FEDERAL","PRB","ELEITO POR QP","CE",117930,"MASCULINO","CASADO(A)","ENSINO MÉDIO COMPLETO","DEPUTADO","BRANCA","21/01/1978","BRASILEIRA NATA"
2014,70000000436,"JOSÉ ANTONIO MACHADO REGUFFE","SENADOR","PDT","ELEITO","DF",826576,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","05/09/1972","BRASILEIRA NATA"
2014,70000000441,"AUGUSTO SILVEIRA DE CARVALHO","DEPUTADO FEDERAL","SD","ELEITO POR MÉDIA","DF",39461,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","SERVIDOR PÚBLICO CIVIL APOSENTADO","BRANCA","27/07/1953","BRASILEIRA NATA"
2014,70000000461,"ROGERIO SCHUMANN ROSSO","DEPUTADO FEDERAL","PSD","ELEITO POR QP","DF",93653,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","30/08/1968","BRASILEIRA NATA"
2014,70000000661,"LAERTE RODRIGUES DE BESSA","DEPUTADO FEDERAL","PR","ELEITO POR MÉDIA","DF",32843,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","POLICIAL CIVIL","BRANCA","01/05/1954","BRASILEIRA NATA"
