"Tabela 3175 - População residente, por cor ou raça, segundo a situação do domicílio, o sexo e a idade"
"Variável - População residente (Pessoas)"
"Unidade da Federação";"Sexo";"Idade";"Ano";"Cor ou raça";"Situação do domicílio";""
"Rondônia";"Homens";"10 a 14 anos";"2010";"Parda";"Rural";"13965"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Indígena";"Urbana";"140"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Indígena";"Rural";"680"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Sem declaração";"Urbana";"4"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Branca";"Urbana";"18360"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Branca";"Rural";"7124"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Preta";"Urbana";"4016"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Preta";"Rural";"1305"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Amarela";"Urbana";"829"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Amarela";"Rural";"224"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Parda";"Urbana";"33167"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Parda";"Rural";"13078"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Indígena";"Urbana";"145"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Indígena";"Rural";"503"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Sem declaração";"Urbana";"3"
"Rondônia";"Homens";"15 a 19 anos";"2010";"Sem declaração";"Rural";"2"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Branca";"Urbana";"19290"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Branca";"Rural";"5818"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Preta";"Urbana";"4754"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Preta";"Rural";"1303"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Amarela";"Urbana";"874"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Amarela";"Rural";"171"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Parda";"Urbana";"32763"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Parda";"Rural";"11261"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Indígena";"Urbana";"124"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Indígena";"Rural";"410"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Homens";"20 a 24 anos";"2010";"Sem declaração";"Rural";"20"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Branca";"Urbana";"18416"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Branca";"Rural";"5804"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Preta";"Urbana";"4979"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Preta";"Rural";"1461"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Amarela";"Urbana";"841"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Amarela";"Rural";"187"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Parda";"Urbana";"30437"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Parda";"Rural";"10724"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Indígena";"Urbana";"143"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Indígena";"Rural";"320"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Sem declaração";"Urbana";"1"
"Rondônia";"Homens";"25 a 29 anos";"2010";"Sem declaração";"Rural";"36"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Branca";"Urbana";"16482"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Branca";"Rural";"5709"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Preta";"Urbana";"4593"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Preta";"Rural";"1433"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Amarela";"Urbana";"697"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Amarela";"Rural";"183"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Parda";"Urbana";"26990"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Parda";"Rural";"9898"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Indígena";"Urbana";"116"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Indígena";"Rural";"249"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Sem declaração";"Urbana";"3"
"Rondônia";"Homens";"30 a 34 anos";"2010";"Sem declaração";"Rural";"18"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Branca";"Urbana";"14279"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Branca";"Rural";"5552"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Preta";"Urbana";"3930"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Preta";"Rural";"1358"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Amarela";"Urbana";"552"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Amarela";"Rural";"137"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Parda";"Urbana";"22868"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Parda";"Rural";"8875"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Indígena";"Urbana";"100"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Indígena";"Rural";"227"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Homens";"35 a 39 anos";"2010";"Sem declaração";"Rural";"11"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Branca";"Urbana";"13758"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Branca";"Rural";"5342"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Preta";"Urbana";"3669"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Preta";"Rural";"1391"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Amarela";"Urbana";"519"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Amarela";"Rural";"131"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Parda";"Urbana";"20584"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Parda";"Rural";"8668"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Indígena";"Urbana";"100"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Indígena";"Rural";"194"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Sem declaração";"Urbana";"1"
"Rondônia";"Homens";"40 a 44 anos";"2010";"Sem declaração";"Rural";"7"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Branca";"Urbana";"12507"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Branca";"Rural";"4986"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Preta";"Urbana";"3104"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Preta";"Rural";"1180"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Amarela";"Urbana";"455"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Amarela";"Rural";"127"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Parda";"Urbana";"17105"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Parda";"Rural";"7512"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Indígena";"Urbana";"86"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Indígena";"Rural";"133"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Sem declaração";"Urbana";"-"
"Rondônia";"Homens";"45 a 49 anos";"2010";"Sem declaração";"Rural";"3"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Branca";"Urbana";"9875"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Branca";"Rural";"4291"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Preta";"Urbana";"2403"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Preta";"Rural";"1038"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Amarela";"Urbana";"318"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Amarela";"Rural";"105"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Parda";"Urbana";"13019"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Parda";"Rural";"6035"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Indígena";"Urbana";"64"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Indígena";"Rural";"94"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Sem declaração";"Urbana";"1"
"Rondônia";"Homens";"50 a 54 anos";"2010";"Sem declaração";"Rural";"2"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Branca";"Urbana";"7293"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Branca";"Rural";"3642"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Preta";"Urbana";"1602"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Preta";"Rural";"911"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Amarela";"Urbana";"220"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Amarela";"Rural";"85"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Parda";"Urbana";"9117"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Parda";"Rural";"5040"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Indígena";"Urbana";"51"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Indígena";"Rural";"79"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Homens";"55 a 59 anos";"2010";"Sem declaração";"Rural";"3"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Branca";"Urbana";"8763"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Branca";"Rural";"5032"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Preta";"Urbana";"2137"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Preta";"Rural";"1264"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Amarela";"Urbana";"309"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Amarela";"Rural";"123"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Parda";"Urbana";"10873"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Parda";"Rural";"6626"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Indígena";"Urbana";"65"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Indígena";"Rural";"165"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Sem declaração";"Urbana";"1"
"Rondônia";"Homens";"60 a 69 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Branca";"Urbana";"6410"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Branca";"Rural";"3237"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Preta";"Urbana";"1539"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Preta";"Rural";"772"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Amarela";"Urbana";"212"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Amarela";"Rural";"74"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Parda";"Urbana";"7518"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Parda";"Rural";"3849"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Indígena";"Urbana";"52"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Indígena";"Rural";"117"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Sem declaração";"Urbana";"-"
"Rondônia";"Homens";"70 anos ou mais";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Branca";"Urbana";"18796"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Branca";"Rural";"6099"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Preta";"Urbana";"1567"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Preta";"Rural";"527"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Amarela";"Urbana";"634"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Amarela";"Rural";"143"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Parda";"Urbana";"25682"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Parda";"Rural";"8715"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Indígena";"Urbana";"128"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Indígena";"Rural";"782"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Sem declaração";"Urbana";"1"
"Rondônia";"Mulheres";"0 a 4 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Branca";"Urbana";"17520"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Branca";"Rural";"6471"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Preta";"Urbana";"2203"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Preta";"Rural";"711"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Amarela";"Urbana";"735"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Amarela";"Rural";"177"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Parda";"Urbana";"29288"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Parda";"Rural";"10653"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Indígena";"Urbana";"129"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Indígena";"Rural";"729"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"5 a 9 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Branca";"Urbana";"18071"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Branca";"Rural";"6551"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Preta";"Urbana";"2861"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Preta";"Rural";"958"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Amarela";"Urbana";"834"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Amarela";"Rural";"195"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Parda";"Urbana";"34083"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Parda";"Rural";"12338"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Indígena";"Urbana";"128"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Indígena";"Rural";"595"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Sem declaração";"Urbana";"4"
"Rondônia";"Mulheres";"10 a 14 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Branca";"Urbana";"19581"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Branca";"Rural";"6263"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Preta";"Urbana";"3527"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Preta";"Rural";"995"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Amarela";"Urbana";"1140"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Amarela";"Rural";"215"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Parda";"Urbana";"34061"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Parda";"Rural";"10770"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Indígena";"Urbana";"149"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Indígena";"Rural";"496"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"15 a 19 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Branca";"Urbana";"20737"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Branca";"Rural";"5054"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Preta";"Urbana";"3889"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Preta";"Rural";"891"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Amarela";"Urbana";"1357"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Amarela";"Rural";"207"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Parda";"Urbana";"33190"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Parda";"Rural";"8728"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Indígena";"Urbana";"119"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Indígena";"Rural";"388"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"20 a 24 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Branca";"Urbana";"19827"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Branca";"Rural";"5281"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Preta";"Urbana";"3769"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Preta";"Rural";"1012"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Amarela";"Urbana";"1250"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Amarela";"Rural";"227"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Parda";"Urbana";"32120"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Parda";"Rural";"8957"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Indígena";"Urbana";"134"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Indígena";"Rural";"311"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"25 a 29 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Branca";"Urbana";"18156"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Branca";"Rural";"5065"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Preta";"Urbana";"3567"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Preta";"Rural";"917"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Amarela";"Urbana";"1026"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Amarela";"Rural";"189"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Parda";"Urbana";"28864"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Parda";"Rural";"8452"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Indígena";"Urbana";"119"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Indígena";"Rural";"226"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"30 a 34 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Branca";"Urbana";"16494"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Branca";"Rural";"4842"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Preta";"Urbana";"3004"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Preta";"Rural";"927"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Amarela";"Urbana";"745"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Amarela";"Rural";"127"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Parda";"Urbana";"24587"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Parda";"Rural";"7538"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Indígena";"Urbana";"110"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Indígena";"Rural";"224"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"35 a 39 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Branca";"Urbana";"14910"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Branca";"Rural";"4301"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Preta";"Urbana";"2696"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Preta";"Rural";"857"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Amarela";"Urbana";"681"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Amarela";"Rural";"119"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Parda";"Urbana";"21055"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Parda";"Rural";"6333"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Indígena";"Urbana";"91"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Indígena";"Rural";"170"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Sem declaração";"Urbana";"2"
"Rondônia";"Mulheres";"40 a 44 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Branca";"Urbana";"12581"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Branca";"Rural";"4008"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Preta";"Urbana";"2352"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Preta";"Rural";"764"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Amarela";"Urbana";"512"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Amarela";"Rural";"118"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Parda";"Urbana";"17225"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Parda";"Rural";"5652"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Indígena";"Urbana";"90"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Indígena";"Rural";"120"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Sem declaração";"Urbana";"-"
"Rondônia";"Mulheres";"45 a 49 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Branca";"Urbana";"9964"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Branca";"Rural";"3501"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Preta";"Urbana";"1841"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Preta";"Rural";"650"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Amarela";"Urbana";"386"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Amarela";"Rural";"86"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Parda";"Urbana";"13245"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Parda";"Rural";"4802"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Indígena";"Urbana";"66"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Indígena";"Rural";"72"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Sem declaração";"Urbana";"3"
"Rondônia";"Mulheres";"50 a 54 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Branca";"Urbana";"7467"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Branca";"Rural";"3050"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Preta";"Urbana";"1353"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Preta";"Rural";"552"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Amarela";"Urbana";"258"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Amarela";"Rural";"74"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Parda";"Urbana";"9500"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Parda";"Rural";"3912"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Indígena";"Urbana";"70"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Indígena";"Rural";"72"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Sem declaração";"Urbana";"-"
"Rondônia";"Mulheres";"55 a 59 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Branca";"Urbana";"9308"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Branca";"Rural";"3819"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Preta";"Urbana";"1766"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Preta";"Rural";"684"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Amarela";"Urbana";"305"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Amarela";"Rural";"75"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Parda";"Urbana";"11421"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Parda";"Rural";"4460"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Indígena";"Urbana";"77"
"Rondônia";"Mulheres";"60 a 69 anos";"2010";"Indígena";"Rural";"112"
